id_receta,nombre_receta,ingrediente,ingrediente_original,ingrediente_homologado,cantidad,unidad,cadena,producto_profeco,precio_kg_litro_mxn,unidad_precio,costo_ingrediente_mxn,tipo_conversion,ingredientes_requeridos,precio_total_receta_mxn,ingredientes_con_precio
4725,Caramelized Onions,butter fat,1/2  cup    butter (or other fat),butter,113.5,gramos,Chedraui,Mantequilla,273.7,kg,31.06,densidad_aproximada,2,40.14,2
4725,Caramelized Onions,onions,"3       onions, sliced",onion,330.0,gramos,Chedraui,Cebolla,27.5,kg,9.08,peso_por_pieza_aproximado,2,40.14,2
4725,Caramelized Onions,butter fat,1/2  cup    butter (or other fat),butter,113.5,gramos,Soriana,Mantequilla,288.8,kg,32.78,densidad_aproximada,2,40.77,2
4725,Caramelized Onions,onions,"3       onions, sliced",onion,330.0,gramos,Soriana,Cebolla,24.2,kg,7.99,peso_por_pieza_aproximado,2,40.77,2
4725,Caramelized Onions,butter fat,1/2  cup    butter (or other fat),butter,113.5,gramos,Walmart,Mantequilla,288.9,kg,32.79,densidad_aproximada,2,45.17,2
4725,Caramelized Onions,onions,"3       onions, sliced",onion,330.0,gramos,Walmart,Cebolla,37.5,kg,12.38,peso_por_pieza_aproximado,2,45.17,2
5154,Sweetened Condensed Milk Sweet Cream Base,condensed milk,"1   cup    condensed milk, sweetened, cold",milk,0.2366,litros,Chedraui,Leche Pasteurizada,32.25,litro,7.63,volumen,2,60.76,2
5154,Sweetened Condensed Milk Sweet Cream Base,cream,2   cups    light cream,cream,0.4732,litros,Chedraui,Crema,112.28,litro,53.13,volumen,2,60.76,2
5154,Sweetened Condensed Milk Sweet Cream Base,condensed milk,"1   cup    condensed milk, sweetened, cold",milk,0.2366,litros,Soriana,Leche Pasteurizada,34.97,litro,8.27,volumen,2,62.44,2
5154,Sweetened Condensed Milk Sweet Cream Base,cream,2   cups    light cream,cream,0.4732,litros,Soriana,Crema,114.47,litro,54.17,volumen,2,62.44,2
5154,Sweetened Condensed Milk Sweet Cream Base,condensed milk,"1   cup    condensed milk, sweetened, cold",milk,0.2366,litros,Walmart,Leche Pasteurizada,34.0,litro,8.04,volumen,2,54.86,2
5154,Sweetened Condensed Milk Sweet Cream Base,cream,2   cups    light cream,cream,0.4732,litros,Walmart,Crema,98.94,litro,46.82,volumen,2,54.86,2
9043,Clotted Cream,heavy cream,2   cups    heavy cream,cream,0.4732,litros,Chedraui,Crema,112.28,litro,53.13,volumen,1,53.13,1
9043,Clotted Cream,heavy cream,2   cups    heavy cream,cream,0.4732,litros,Soriana,Crema,114.47,litro,54.17,volumen,1,54.17,1
9043,Clotted Cream,heavy cream,2   cups    heavy cream,cream,0.4732,litros,Walmart,Crema,98.94,litro,46.82,volumen,1,46.82,1
11164,Baby Zucchini Boats,garlic cloves,"2       garlic cloves, finely chopped",garlic,6.0,gramos,Chedraui,Ajo,411.1,kg,2.47,peso_por_diente_aproximado,4,67.79,4
11164,Baby Zucchini Boats,melted butter,3   tablespoons   melted butter,butter,42.5626,gramos,Chedraui,Mantequilla,273.7,kg,11.65,densidad_aproximada,4,67.79,4
11164,Baby Zucchini Boats,onion,"1   medium    onion, cut into rings",onion,110.0,gramos,Chedraui,Cebolla,27.5,kg,3.02,peso_por_pieza_aproximado,4,67.79,4
11164,Baby Zucchini Boats,zucchini,"8   small    zucchini, cut in half lengthwise",zucchini,1568.0,gramos,Chedraui,Calabaza,32.3,kg,50.65,peso_por_pieza_aproximado,4,67.79,4
11164,Baby Zucchini Boats,garlic cloves,"2       garlic cloves, finely chopped",garlic,6.0,gramos,Soriana,Ajo,469.2,kg,2.82,peso_por_diente_aproximado,4,70.14,4
11164,Baby Zucchini Boats,melted butter,3   tablespoons   melted butter,butter,42.5626,gramos,Soriana,Mantequilla,288.8,kg,12.29,densidad_aproximada,4,70.14,4
11164,Baby Zucchini Boats,onion,"1   medium    onion, cut into rings",onion,110.0,gramos,Soriana,Cebolla,24.2,kg,2.66,peso_por_pieza_aproximado,4,70.14,4
11164,Baby Zucchini Boats,zucchini,"8   small    zucchini, cut in half lengthwise",zucchini,1568.0,gramos,Soriana,Calabaza,33.4,kg,52.37,peso_por_pieza_aproximado,4,70.14,4
11164,Baby Zucchini Boats,garlic cloves,"2       garlic cloves, finely chopped",garlic,6.0,gramos,Walmart,Ajo,603.9,kg,3.62,peso_por_diente_aproximado,4,77.9,4
11164,Baby Zucchini Boats,melted butter,3   tablespoons   melted butter,butter,42.5626,gramos,Walmart,Mantequilla,288.9,kg,12.3,densidad_aproximada,4,77.9,4
11164,Baby Zucchini Boats,onion,"1   medium    onion, cut into rings",onion,110.0,gramos,Walmart,Cebolla,37.5,kg,4.12,peso_por_pieza_aproximado,4,77.9,4
11164,Baby Zucchini Boats,zucchini,"8   small    zucchini, cut in half lengthwise",zucchini,1568.0,gramos,Walmart,Calabaza,36.9,kg,57.86,peso_por_pieza_aproximado,4,77.9,4
13444,Boterkoek --- Dutch Butter Cake,butter,1   cup    butter (room temperature),butter,227.0,gramos,Chedraui,Mantequilla,273.7,kg,62.13,densidad_aproximada,4,78.21,4
13444,Boterkoek --- Dutch Butter Cake,flour,2   cups    flour,flour,240.0,gramos,Chedraui,Harina de Trigo,19.5,kg,4.68,densidad_aproximada,4,78.21,4
13444,Boterkoek --- Dutch Butter Cake,icing sugar,2   cups    icing sugar,sugar,400.0,gramos,Chedraui,Azúcar,28.2,kg,11.28,densidad_aproximada,4,78.21,4
13444,Boterkoek --- Dutch Butter Cake,vanilla sugar,1 (2   teaspoon) package   vanilla sugar,sugar,4.1667,gramos,Chedraui,Azúcar,28.2,kg,0.12,densidad_aproximada,4,78.21,4
13444,Boterkoek --- Dutch Butter Cake,butter,1   cup    butter (room temperature),butter,227.0,gramos,Soriana,Mantequilla,288.8,kg,65.56,densidad_aproximada,4,82.19,4
